nama_makanan,kategori_makanan,jenis_kemasan,lokasi_penyimpanan,sudah_terbuka,hari_berakhir,hari_sejak_dibuka,sisa_hari,label,cara_simpan
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Pendingin,1,7,4,-1,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,1,126,3,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,1,98,7,0,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,239,0,239,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,337,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Tarik,Produk Minuman,Karton,Pendingin,0,105,0,105,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,25,0,25,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Ayam,Produk Protein,Plastik,Pembeku,0,156,0,156,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Mangga Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,104,0,104,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,0,20,0,20,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Goreng,Produk Kering,Plastik,Suhu Ruang,0,18,0,18,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,0,10,0,10,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Granola,Produk Kering,Karton,Suhu Ruang,0,46,0,46,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ikan,Produk Protein,Plastik,Pembeku,0,39,0,39,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,29,0,29,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Sapi,Produk Protein,Plastik,Pendingin,1,22,6,-1,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,1,12,4,-1,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Suhu Ruang,1,297,8,22,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,62,2,19,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,195,8,22,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sosis Frozen,Produk Protein,Plastik,Pembeku,1,161,3,0,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,0,124,0,124,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,224,5,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Udang,Produk Protein,Plastik,Pembeku,0,1,0,1,Segera,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Nugget Ikan,Produk Protein,Plastik,Pembeku,0,81,0,81,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Pendingin,0,5,0,5,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,1,13,6,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,0,500,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mangga Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,187,0,187,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ikan,Produk Protein,Plastik,Pembeku,0,49,0,49,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,289,12,16,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sosis Ikan,Produk Protein,Plastik,Pendingin,0,25,0,25,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,450,7,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,1,46,5,2,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,1,13,7,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,1,116,10,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,1,196,11,3,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,0,63,0,63,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,22,10,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,147,0,147,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,488,8,-5,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,125,0,125,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,0,338,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Rambutan Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,222,0,222,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Sapi,Produk Protein,Plastik,Pembeku,0,69,0,69,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,0,11,0,11,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,1,0,1,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,1,48,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,1,72,10,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Sosis Frozen,Produk Protein,Plastik,Pembeku,1,80,8,-5,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,0,220,0,220,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,60,12,-2,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Rambutan Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,227,7,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,318,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Mangga Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,239,4,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,500,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,21,0,21,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,309,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,0,156,0,156,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Tarik,Produk Minuman,Karton,Pendingin,0,258,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Tempe,Produk Protein,Plastik,Pembeku,1,117,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Bebek,Produk Protein,Plastik,Pendingin,0,87,0,87,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,0,44,0,44,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,1,82,3,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,1,45,12,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,1,65,6,1,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,1,288,12,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,101,0,101,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,1,50,2,0,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Nugget Sapi,Produk Protein,Plastik,Pembeku,0,140,0,140,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Jus Sirsak,Produk Minuman,Karton,Pendingin,0,77,0,77,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,1,424,4,26,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,0,337,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Ayam,Produk Protein,Plastik,Pendingin,1,11,9,-4,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Air Soda,Produk Minuman,Plastik,Suhu Ruang,0,356,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Jambu,Produk Minuman,Karton,Pendingin,0,106,0,106,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Tarik,Produk Minuman,Karton,Pendingin,0,2,0,2,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Ayam,Produk Protein,Plastik,Pembeku,0,176,0,176,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,80,0,80,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,1,9,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Nugget Tempe,Produk Protein,Plastik,Pembeku,0,10,0,10,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,1,239,12,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,1,500,4,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sosis Sapi,Produk Protein,Plastik,Pendingin,0,55,0,55,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,1,41,1,6,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,5,1,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,290,4,-4,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Jus Jambu,Produk Minuman,Karton,Pendingin,0,163,0,163,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,471,1,2,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,259,4,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,88,0,88,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,1,264,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,1,283,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,180,0,180,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,8,0,8,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Kornet Ayam,Produk Kaleng,Kaleng,Suhu Ruang,1,64,3,0,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,70,5,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,0,164,0,164,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Soda Lemon,Produk Minuman,Kaleng,Suhu Ruang,0,14,0,14,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Apel,Produk Minuman,Karton,Pendingin,1,71,4,1,Segera,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,167,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,1,25,10,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,56,0,56,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Sapi,Produk Protein,Plastik,Pendingin,1,14,7,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,1,7,3,2,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,1,46,11,-4,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,497,3,0,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,105,0,105,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,1,16,8,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Sayuran,Produk Protein,Plastik,Pembeku,1,14,2,1,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Jus Apel,Produk Minuman,Karton,Pendingin,0,59,0,59,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,1,50,6,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,65,0,65,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Soda,Produk Minuman,Plastik,Suhu Ruang,1,139,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,0,165,0,165,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,1,6,5,-4,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,15,1,13,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,444,1,2,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Uht Low Fat,Produk Olahan Susu,Karton,Pendingin,0,118,0,118,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Jus Jeruk,Produk Minuman,Karton,Pendingin,0,120,0,120,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Tempe,Produk Protein,Plastik,Pembeku,0,69,8,-5,Kadaluwarsa,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,0,191,0,191,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,1,99,5,16,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,18,0,18,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,1,32,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,-10,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,95,0,95,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,0,82,0,82,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
